Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,84702.296875,85466.296875,84499.796875,85100.296875,85100.296875,0
2022-01-13,85100.296875,86743.796875,85088.601563,85370.898438,85370.898438,0
2022-01-14,85370.898438,85555.296875,84628.500000,85481.101563,85481.101563,0
2022-01-17,85481.101563,85481.101563,84758.500000,85038.796875,85038.796875,0
2022-01-18,85038.796875,85339.296875,83249.203125,83350.601563,83350.601563,0
2022-01-19,83350.601563,84040.898438,83157.601563,83528.203125,83528.203125,0
2022-01-20,83528.203125,85674.000000,83528.203125,85126.398438,85126.398438,0
2022-01-21,85126.398438,85172.898438,83382.398438,83622.500000,83622.500000,0
2022-01-24,83622.500000,83622.500000,80403.398438,81004.398438,81004.398438,0
2022-01-25,81004.398438,85320.703125,80789.898438,85180.398438,85180.398438,0
2022-01-26,85180.398438,86614.296875,85180.398438,85782.101563,85782.101563,0
2022-01-27,85782.101563,86586.000000,85319.296875,85968.796875,85968.796875,0
2022-01-28,85968.796875,90227.101563,85968.796875,88269.796875,88269.796875,0
2022-01-31,88269.796875,91012.398438,87937.398438,90907.500000,90907.500000,0
2022-02-01,90907.500000,91802.796875,88669.101563,91416.601563,91416.601563,0
2022-02-02,91416.601563,92732.398438,89490.703125,89662.703125,89662.703125,0
2022-02-03,89662.703125,89813.000000,87745.898438,88091.296875,88091.296875,0
2022-02-04,88091.296875,88637.203125,87225.898438,87934.000000,87934.000000,0
2022-02-07,87934.000000,89438.898438,87934.000000,89189.101563,89189.101563,0
2022-02-08,89189.101563,89877.101563,88092.000000,88149.203125,88149.203125,0
2022-02-09,88149.203125,89097.898438,87309.296875,87393.101563,87393.101563,0
2022-02-10,87393.101563,88463.000000,86994.398438,87559.398438,87559.398438,0
2022-02-11,87559.398438,89904.500000,87468.101563,88185.000000,88185.000000,0
2022-02-14,88185.000000,88773.703125,87321.500000,87803.703125,87803.703125,0
2022-02-15,87803.703125,88824.898438,87594.296875,88042.601563,88042.601563,0
2022-02-16,88042.601563,90776.000000,87991.601563,90577.601563,90577.601563,0
2022-02-17,90577.601563,91286.000000,89977.898438,89977.898438,89977.898438,0
2022-02-18,89977.898438,90724.500000,88325.296875,89443.203125,89443.203125,0
2022-02-21,89443.203125,90391.898438,89333.296875,90029.500000,90029.500000,0
2022-02-22,90029.500000,91166.398438,89789.203125,90440.601563,90440.601563,0
2022-02-23,90440.601563,91764.296875,89401.203125,91359.500000,91359.500000,0
2022-02-24,91359.500000,91359.500000,87311.500000,88721.500000,88721.500000,0
2022-02-25,88721.500000,89836.898438,87785.500000,87969.898438,87969.898438,0
2022-03-02,87969.898438,90469.796875,87969.898438,90248.898438,90248.898438,0
2022-03-03,90248.898438,91759.203125,88415.703125,91558.000000,91558.000000,0
2022-03-04,91558.000000,91988.898438,88451.398438,89515.398438,89515.398438,0
2022-03-07,89515.398438,90713.296875,87788.796875,87948.203125,87948.203125,0
2022-03-08,87948.203125,88061.101563,87948.203125,88061.101563,88061.101563,0
2022-03-09,88061.101563,89354.101563,87003.101563,87226.500000,87226.500000,0
2022-03-10,87226.500000,90393.296875,87138.703125,90283.101563,90283.101563,0
2022-03-11,90283.101563,91465.703125,88620.296875,88999.101563,88999.101563,0
2022-03-14,88999.101563,89003.203125,84747.703125,84955.898438,84955.898438,0
2022-03-15,84955.898438,84955.898438,83570.000000,84054.703125,84054.703125,0
2022-03-16,84054.703125,87661.296875,84054.703125,87450.898438,87450.898438,0
2022-03-17,87450.898438,89790.000000,87450.898438,89645.898438,89645.898438,0
2022-03-18,89645.898438,90693.796875,88790.398438,89057.601563,89057.601563,0
2022-03-21,89057.601563,90989.203125,89032.601563,90041.101563,90041.101563,0
2022-03-22,90041.101563,91362.500000,89979.296875,90170.101563,90170.101563,0
2022-03-23,90170.101563,91891.000000,89773.000000,90106.601563,90106.601563,0
2022-03-25,90106.601563,93313.203125,90106.601563,93010.398438,93010.398438,0
2022-03-28,93010.398438,93058.601563,91643.898438,91663.000000,91663.000000,0
2022-03-29,91663.000000,92046.101563,89875.000000,89967.296875,89967.296875,0
2022-03-30,89967.296875,91215.296875,89966.296875,90867.601563,90867.601563,0
2022-03-31,90867.601563,92039.000000,90702.500000,90959.601563,90959.601563,0
2022-04-01,90979.000000,92571.000000,90979.000000,92391.000000,92391.000000,0
2022-04-04,92391.000000,93480.398438,92391.000000,93218.703125,93218.703125,0
2022-04-05,93218.703125,94374.296875,91811.601563,91814.296875,91814.296875,0
2022-04-06,91814.296875,91814.296875,89921.796875,90973.000000,90973.000000,0
2022-04-07,90973.000000,91686.703125,89848.398438,91558.203125,91558.203125,0
2022-04-08,91558.203125,92488.601563,91558.203125,92091.500000,92091.500000,0
2022-04-11,92091.500000,92245.703125,90487.601563,90629.898438,90629.898438,0
2022-04-12,90629.898438,91426.101563,89924.500000,90345.898438,90345.898438,0
2022-04-13,90345.898438,91116.000000,89982.796875,91041.398438,91041.398438,0
2022-04-18,91041.398438,92777.796875,90977.101563,91239.203125,91239.203125,0
2022-04-19,91239.203125,92151.500000,90939.203125,92038.398438,92038.398438,0
2022-04-20,92038.398438,92741.703125,91120.398438,92559.296875,92559.296875,0
2022-04-21,92559.296875,93141.000000,91263.000000,91496.101563,91496.101563,0
2022-04-22,91656.796875,92688.500000,91414.101563,91717.101563,91717.101563,0
2022-04-25,91792.398438,91792.398438,88790.203125,91154.398438,91154.398438,0
2022-04-26,91154.703125,91154.703125,89214.000000,89574.703125,89574.703125,0
2022-04-27,89574.703125,90913.703125,89363.500000,90033.296875,90033.296875,0
2022-04-28,90033.296875,91019.101563,89337.500000,90354.203125,90354.203125,0
2022-04-29,90354.203125,91371.203125,88176.203125,88251.000000,88251.000000,0
2022-05-02,88251.000000,88251.000000,86661.601563,87608.101563,87608.101563,0
2022-05-03,87608.101563,89751.296875,87515.703125,89585.296875,89585.296875,0
